Student ID,Name,Class,Subject,Exam Category,Exam Date,Score,Attendance (%),Participation,Behavior Score,Final Grade,Participation_Numeric,Final Grade Letter,Performance Category,Pass_Fail,Risk_Level,Risk_Probability,Engagement_Score,Engagement_Group
415.0,Mim Akter,10.0,Math,Mid Exam,2025-03-05,50,95,low,5,95.0,0,A+,Excellent,Pass,Low Risk,0.0,57.0,Medium
113.0,Mehedi Hasan,10.0,Math,Mid Exam,2025-03-06,95,89,medium,6,58.0,1,D-,Poor,Fail,Medium Risk,0.4154589577089578,73.4,High
341.0,Tania Jahan,10.0,Math,Class Test,2025-03-07,70,78,high,6,82.0,2,B,Good,Pass,Low Risk,0.34269078144078147,86.8,Very High
876.0,Mim Akter,10.0,Physics,Final Exam,2025-03-08,53,56,medium,8,82.0,1,B,Good,Pass,Low Risk,0.0,53.6,Medium
445.0,Tania Jahan,10.0,English,Mid Exam,2025-03-09,64,89,medium,9,50.0,1,F,Poor,Fail,Medium Risk,0.4154589577089578,73.4,High
664.0,Sakib Khan,10.0,Computer,Mid Exam,2025-03-10,85,60,medium,6,95.0,1,A+,Excellent,Pass,Low Risk,0.2851678778849118,56.0,Medium
997.0,Ayesha Rahman,10.0,Biology,Class Test,2025-03-11,59,87,low,10,95.0,0,A+,Excellent,Pass,High Risk,0.7860079365079365,52.199999999999996,Medium
439.0,Mehedi Hasan,10.0,Bangla,Class Test,2025-03-12,86,67,medium,10,50.0,1,F,Poor,Fail,Medium Risk,0.5161599511599512,60.199999999999996,High
191.0,Ayesha Rahman,10.0,Biology,Final Exam,2025-03-13,76,51,high,5,78.0,2,B-,Average,Pass,Low Risk,0.2330218253968258,70.6,High
466.0,Tania Jahan,10.0,Bangla,Mid Exam,2025-03-14,64,57,low,5,95.0,0,A+,Excellent,Pass,Low Risk,0.19108766233766228,34.199999999999996,Low
554.0,Mehedi Hasan,10.0,Physics,Final Exam,2025-03-15,48,60,high,9,50.0,2,F,Poor,Fail,Low Risk,0.33532916367571486,76.0,High
527.0,Ayesha Rahman,10.0,Math,Mid Exam,2025-03-16,37,82,high,9,78.0,2,B-,Average,Pass,Low Risk,0.0,89.19999999999999,Very High
608.0,Mim Akter,10.0,Physics,Final Exam,2025-03-17,55,87,low,8,78.0,0,B-,Average,Pass,High Risk,0.7860079365079365,52.199999999999996,Medium
875.0,Tanvir Alam,10.0,English,Class Test,2025-03-18,100,97,high,7,68.0,2,C-,Below Average,Pass,Low Risk,0.2418120144819066,98.19999999999999,Very High
134.0,Tania Jahan,10.0,English,Mid Exam,2025-03-19,59,76,high,5,82.0,2,B,Good,Pass,Low Risk,0.03428571428571425,85.6,Very High
305.0,Ayesha Rahman,10.0,Bangla,Final Exam,2025-03-20,36,69,low,9,73.0,0,C+,Average,Pass,Low Risk,0.20352380952380955,41.4,Medium
180.0,Tania Jahan,10.0,Computer,Class Test,2025-03-21,96,60,high,5,82.0,2,B,Good,Pass,Low Risk,0.33532916367571486,76.0,High
661.0,Nusrat Hossain,10.0,Computer,Class Test,2025-03-22,94,60,medium,9,82.0,1,B,Good,Pass,Low Risk,0.2851678778849118,56.0,Medium
971.0,Tania Jahan,10.0,Bangla,Final Exam,2025-03-23,65,80,high,6,68.0,2,C-,Below Average,Pass,Medium Risk,0.46134550253667916,88.0,Very High
487.0,Mehedi Hasan,10.0,English,Mid Exam,2025-03-24,54,76,medium,5,78.0,1,B-,Average,Pass,Low Risk,0.0045000000000000595,65.6,High
101.0,Nusrat Hossain,10.0,English,Mid Exam,2025-03-25,66,81,high,6,78.0,2,B-,Average,Pass,Low Risk,0.011472527472527472,88.6,Very High
489.0,Mehedi Hasan,10.0,English,Class Test,2025-03-26,30,59,low,5,95.0,0,A+,Excellent,Pass,Low Risk,0.10713438359026639,35.4,Low
665.0,Tanvir Alam,10.0,Physics,Mid Exam,2025-03-27,44,52,low,7,68.0,0,C-,Below Average,Pass,Low Risk,0.0024999999999999467,31.2,Low
205.0,Nusrat Hossain,10.0,English,Mid Exam,2025-03-28,66,60,high,8,95.0,2,A+,Excellent,Pass,Low Risk,0.33532916367571486,76.0,High
871.0,Mim Akter,10.0,Biology,Mid Exam,2025-03-29,42,76,low,10,68.0,0,C-,Below Average,Pass,Low Risk,0.14249314574314564,45.6,Medium
921.0,Tania Jahan,10.0,Math,Class Test,2025-03-30,37,84,high,10,95.0,2,A+,Excellent,Pass,Medium Risk,0.5282060015148249,90.4,Very High
576.0,Ayesha Rahman,10.0,English,Final Exam,2025-03-31,34,80,low,10,90.0,0,A,Excellent,Pass,Low Risk,0.0,48.0,Medium
802.0,Sakib Khan,10.0,Bangla,Mid Exam,2025-04-01,89,64,medium,6,50.0,1,F,Poor,Fail,High Risk,0.7560452831482244,58.4,Medium
501.0,Tania Jahan,10.0,Math,Class Test,2025-04-02,30,65,high,9,82.0,2,B,Good,Pass,Low Risk,0.0,79.0,High
829.0,Tania Jahan,10.0,Physics,Class Test,2025-04-03,65,62,medium,10,82.0,1,B,Good,Pass,Low Risk,0.23344577481342232,57.199999999999996,Medium
655.0,Tanvir Alam,10.0,Bangla,Final Exam,2025-04-04,64,98,medium,7,58.0,1,D-,Poor,Fail,High Risk,0.7269527417027417,78.8,High
261.0,Mim Akter,10.0,Math,Mid Exam,2025-04-05,95,84,high,10,50.0,2,F,Poor,Fail,Medium Risk,0.5282060015148249,90.4,Very High
301.0,Sakib Khan,10.0,Bangla,Mid Exam,2025-04-06,92,60,medium,5,75.3,1,C+,Average,Pass,Low Risk,0.2851678778849118,56.0,Medium
369.0,Nusrat Hossain,10.0,Physics,Final Exam,2025-04-07,52,70,high,6,58.0,2,D-,Poor,Fail,High Risk,1.0,82.0,Very High
962.0,Nusrat Hossain,10.0,Biology,Final Exam,2025-04-08,38,100,medium,5,90.0,1,A,Excellent,Pass,Medium Risk,0.4591428571428571,80.0,High
915.0,Nusrat Hossain,10.0,Physics,Class Test,2025-04-09,63,60,high,5,58.0,2,D-,Poor,Fail,Low Risk,0.33532916367571486,76.0,High
370.0,Mehedi Hasan,10.0,Physics,Class Test,2025-04-10,75,79,high,5,82.0,2,B,Good,Pass,Low Risk,0.2977370962370962,87.4,Very High
555.0,Mehedi Hasan,10.0,Bangla,Final Exam,2025-04-11,33,97,low,8,78.0,0,B-,Average,Pass,Low Risk,0.18839718614718648,58.199999999999996,Medium
561.0,Ayesha Rahman,10.0,Computer,Mid Exam,2025-04-12,59,84,high,8,90.0,2,A,Excellent,Pass,Medium Risk,0.5282060015148249,90.4,Very High
826.0,Sakib Khan,10.0,English,Class Test,2025-04-13,32,71,high,9,82.0,2,B,Good,Pass,Low Risk,0.010000000000000009,82.6,Very High
351.0,Nusrat Hossain,10.0,English,Class Test,2025-04-14,43,87,medium,6,50.0,1,F,Poor,Fail,Medium Risk,0.5003214285714286,72.19999999999999,High
801.0,Mehedi Hasan,10.0,Biology,Mid Exam,2025-04-15,89,80,high,7,95.0,2,A+,Excellent,Pass,Medium Risk,0.46134550253667916,88.0,Very High
395.0,Ayesha Rahman,10.0,Biology,Class Test,2025-04-16,74,63,low,7,68.0,0,C-,Below Average,Pass,Low Risk,0.182105339105339,37.8,Low
824.0,Mim Akter,10.0,English,Mid Exam,2025-04-17,63,73,medium,7,90.0,1,A,Excellent,Pass,Low Risk,0.3371540134701899,63.8,High
819.0,Ayesha Rahman,10.0,Computer,Mid Exam,2025-04-18,74,60,medium,5,78.0,1,B-,Average,Pass,Low Risk,0.2851678778849118,56.0,Medium
848.0,Mehedi Hasan,10.0,English,Mid Exam,2025-04-19,90,98,low,8,77.5,0,B-,Average,Pass,Low Risk,0.11711652236652259,58.8,Medium
437.0,Tanvir Alam,10.0,Computer,Final Exam,2025-04-20,45,81,medium,6,50.0,1,F,Poor,Fail,Low Risk,0.35945050855577176,68.6,High
978.0,Tanvir Alam,10.0,Biology,Final Exam,2025-04-21,95,85,medium,5,58.0,1,D-,Poor,Fail,Low Risk,0.31039285714285714,71.0,High
152.0,Nusrat Hossain,10.0,Math,Final Exam,2025-04-22,69,81,medium,8,90.0,1,A,Excellent,Pass,Low Risk,0.35945050855577176,68.6,High
891.0,Tanvir Alam,10.0,Bangla,Mid Exam,2025-04-23,46,64,medium,8,50.0,1,F,Poor,Fail,High Risk,0.7560452831482244,58.4,Medium
316.0,Nusrat Hossain,10.0,Biology,Mid Exam,2025-04-24,63,92,low,10,78.0,0,B-,Average,Pass,Low Risk,0.1376338106338112,55.199999999999996,Medium
863.0,Nusrat Hossain,10.0,Biology,Final Exam,2025-04-25,45,84,low,10,90.0,0,A,Excellent,Pass,Low Risk,0.007499999999999951,50.4,Medium
287.0,Mehedi Hasan,10.0,Physics,Class Test,2025-04-26,89,52,medium,6,78.0,1,B-,Average,Pass,Low Risk,0.37448520923520934,51.2,Medium
479.0,Tanvir Alam,10.0,Physics,Mid Exam,2025-04-27,95,60,medium,6,58.0,1,D-,Poor,Fail,Low Risk,0.2851678778849118,56.0,Medium
592.0,Nusrat Hossain,10.0,Physics,Class Test,2025-04-28,95,54,low,6,82.0,0,B,Good,Pass,Low Risk,0.194017676767677,32.4,Low
140.0,Sakib Khan,10.0,Bangla,Class Test,2025-04-29,42,70,low,5,50.0,0,F,Poor,Fail,Low Risk,0.3232301587301589,42.0,Medium
256.0,Mim Akter,10.0,Physics,Mid Exam,2025-04-30,85,59,low,9,95.0,0,A+,Excellent,Pass,Low Risk,0.10713438359026639,35.4,Low
114.0,Ayesha Rahman,10.0,Computer,Mid Exam,2025-05-01,60,68,medium,6,82.0,1,B,Good,Pass,Low Risk,0.22232142857142845,60.8,High
912.0,Ayesha Rahman,10.0,English,Class Test,2025-05-02,63,74,medium,10,95.0,1,A+,Excellent,Pass,Low Risk,0.09967031987620245,64.4,High
164.0,Mehedi Hasan,10.0,Math,Class Test,2025-05-03,68,53,high,9,58.0,2,D-,Poor,Fail,Medium Risk,0.4522572879476904,71.8,High
956.0,Tanvir Alam,10.0,Biology,Final Exam,2025-05-04,96,60,medium,5,50.0,1,F,Poor,Fail,Low Risk,0.2851678778849118,56.0,Medium
938.0,Tanvir Alam,10.0,Computer,Final Exam,2025-05-05,37,68,high,9,82.0,2,B,Good,Pass,Low Risk,0.22379761904761908,80.8,Very High
620.0,Nusrat Hossain,10.0,Math,Mid Exam,2025-05-06,84,92,low,7,82.0,0,B,Good,Pass,Low Risk,0.1376338106338112,55.199999999999996,Medium
443.0,Tania Jahan,10.0,Computer,Final Exam,2025-05-07,56,60,medium,9,90.0,1,A,Excellent,Pass,Low Risk,0.2851678778849118,56.0,Medium
228.0,Nusrat Hossain,10.0,Computer,Final Exam,2025-05-08,82,59,low,6,68.0,0,C-,Below Average,Pass,Low Risk,0.10713438359026639,35.4,Low
747.0,Mim Akter,10.0,Biology,Final Exam,2025-05-09,68,60,medium,5,58.0,1,D-,Poor,Fail,Low Risk,0.2851678778849118,56.0,Medium
571.0,Sakib Khan,10.0,English,Final Exam,2025-05-10,94,74,high,6,78.0,2,B-,Average,Pass,Low Risk,0.020000000000000018,84.4,Very High
162.0,Ayesha Rahman,10.0,Physics,Class Test,2025-05-11,46,69,high,10,58.0,2,D-,Poor,Fail,Low Risk,0.2419301254301256,81.4,Very High
238.0,Nusrat Hossain,10.0,Bangla,Mid Exam,2025-05-12,59,97,high,7,78.0,2,B-,Average,Pass,Low Risk,0.2418120144819066,98.19999999999999,Very High
598.0,Tania Jahan,10.0,English,Final Exam,2025-05-13,82,68,medium,10,69.2,1,C-,Below Average,Pass,Low Risk,0.22232142857142845,60.8,High
692.0,Tania Jahan,10.0,Bangla,Class Test,2025-05-14,42,72,medium,6,78.0,1,B-,Average,Pass,Low Risk,0.15221015096015134,63.199999999999996,High
491.0,Nusrat Hossain,10.0,Biology,Class Test,2025-05-15,50,73,low,6,95.0,0,A+,Excellent,Pass,Low Risk,0.2918571428571429,43.8,Medium
774.0,Mehedi Hasan,10.0,Biology,Class Test,2025-05-16,48,60,medium,6,78.0,1,B-,Average,Pass,Low Risk,0.2851678778849118,56.0,Medium
518.0,Ayesha Rahman,10.0,Biology,Final Exam,2025-05-17,82,95,low,8,78.0,0,B-,Average,Pass,Low Risk,0.0,57.0,Medium
388.0,Mehedi Hasan,10.0,Math,Final Exam,2025-05-18,48,83,medium,7,90.0,1,A,Excellent,Pass,Low Risk,0.1860046897546901,69.8,High
478.0,Sakib Khan,10.0,Bangla,Mid Exam,2025-05-19,86,77,low,6,82.0,0,B,Good,Pass,Low Risk,0.005079365079365239,46.199999999999996,Medium
872.0,Tania Jahan,10.0,English,Final Exam,2025-05-20,54,54,medium,6,72.9,1,C,Average,Pass,Low Risk,0.19259523809523826,52.4,Medium
589.0,Tania Jahan,10.0,English,Final Exam,2025-05-21,60,54,low,10,58.0,0,D-,Poor,Fail,Low Risk,0.194017676767677,32.4,Low
330.0,Mim Akter,10.0,Computer,Class Test,2025-05-22,84,100,low,10,50.0,0,F,Poor,Fail,Low Risk,0.0,60.0,Medium
140.0,Sakib Khan,10.0,Computer,Mid Exam,2025-05-23,52,70,high,6,50.0,2,F,Poor,Fail,High Risk,1.0,82.0,Very High
127.0,Tania Jahan,10.0,Computer,Final Exam,2025-05-24,61,61,medium,5,78.0,1,B-,Average,Pass,Low Risk,0.004865967365967339,56.6,Medium
234.0,Sakib Khan,10.0,Biology,Final Exam,2025-05-25,91,99,low,8,68.0,0,C-,Below Average,Pass,Low Risk,0.31485556110556123,59.4,Medium
300.0,Ayesha Rahman,10.0,English,Class Test,2025-05-26,39,53,high,10,58.0,2,D-,Poor,Fail,Medium Risk,0.4522572879476904,71.8,High
939.0,Tanvir Alam,10.0,Bangla,Class Test,2025-05-27,83,98,medium,5,50.0,1,F,Poor,Fail,High Risk,0.7269527417027417,78.8,High
879.0,Tania Jahan,10.0,Biology,Final Exam,2025-05-28,81,91,high,8,78.0,2,B-,Average,Pass,Low Risk,0.27863007773586224,94.6,Very High
132.0,Mim Akter,10.0,Math,Mid Exam,2025-05-29,49,69,medium,6,67.9,1,C-,Below Average,Pass,Low Risk,0.3861904761904763,61.4,High
147.0,Ayesha Rahman,10.0,Computer,Mid Exam,2025-05-30,61,87,high,7,78.0,2,B-,Average,Pass,Low Risk,0.22901962824756938,92.19999999999999,Very High
602.0,Nusrat Hossain,10.0,Biology,Class Test,2025-05-31,43,74,low,9,95.0,0,A+,Excellent,Pass,Low Risk,0.16558730158730195,44.4,Medium
506.0,Sakib Khan,10.0,Biology,Class Test,2025-06-01,79,63,medium,9,80.1,1,B,Good,Pass,Low Risk,0.12037515262515286,57.8,Medium
673.0,Nusrat Hossain,10.0,Math,Final Exam,2025-06-02,57,60,medium,6,95.0,1,A+,Excellent,Pass,Low Risk,0.2851678778849118,56.0,Medium
827.0,Mehedi Hasan,10.0,Physics,Class Test,2025-06-03,82,81,medium,10,50.0,1,F,Poor,Fail,Low Risk,0.35945050855577176,68.6,High
904.0,Ayesha Rahman,10.0,English,Final Exam,2025-06-04,53,60,high,5,78.0,2,B-,Average,Pass,Low Risk,0.33532916367571486,76.0,High
198.0,Nusrat Hossain,10.0,Bangla,Mid Exam,2025-06-05,51,67,low,7,79.3,0,B-,Average,Pass,Low Risk,0.2817857142857143,40.199999999999996,Medium
783.0,Tania Jahan,10.0,Physics,Mid Exam,2025-06-06,59,76,low,8,68.0,0,C-,Below Average,Pass,Low Risk,0.14249314574314564,45.6,Medium
971.0,Sakib Khan,10.0,Computer,Final Exam,2025-06-07,92,67,high,6,78.0,2,B-,Average,Pass,Low Risk,0.04632591093117411,80.19999999999999,Very High
825.0,Tanvir Alam,10.0,Biology,Class Test,2025-06-08,33,72,low,7,90.0,0,A,Excellent,Pass,Low Risk,0.0,43.199999999999996,Medium
646.0,Ayesha Rahman,10.0,Math,Mid Exam,2025-06-09,88,60,medium,7,90.0,1,A,Excellent,Pass,Low Risk,0.2851678778849118,56.0,Medium
838.0,Tania Jahan,10.0,Math,Class Test,2025-06-10,37,70,medium,10,58.0,1,D-,Poor,Fail,Low Risk,0.3187095404595405,62.0,High
712.0,Mim Akter,10.0,English,Mid Exam,2025-06-11,41,93,medium,8,76.6,1,C+,Average,Pass,Low Risk,0.2156293894014486,75.8,High
561.0,Mehedi Hasan,10.0,Physics,Final Exam,2025-06-12,60,54,low,7,78.0,0,B-,Average,Pass,Low Risk,0.194017676767677,32.4,Low
742.0,Sakib Khan,10.0,English,Final Exam,2025-06-13,63,72,medium,10,50.0,1,F,Poor,Fail,Low Risk,0.15221015096015134,63.199999999999996,High
868.0,Ayesha Rahman,10.0,Biology,Final Exam,2025-06-14,78,90,low,5,90.0,0,A,Excellent,Pass,Low Risk,0.31421545121545125,54.0,Medium
104.0,Ayesha Rahman,10.0,English,Mid Exam,2025-06-15,86,74,medium,10,90.0,1,A,Excellent,Pass,Low Risk,0.09967031987620245,64.4,High
317.0,Tanvir Alam,10.0,Bangla,Class Test,2025-06-16,55,90,medium,5,90.0,1,A,Excellent,Pass,Low Risk,0.12144980019980023,74.0,High
602.0,Tanvir Alam,10.0,Math,Class Test,2025-06-17,47,59,medium,5,50.0,1,F,Poor,Fail,High Risk,0.7606854256854257,55.4,Medium
866.0,Mim Akter,10.0,Math,Class Test,2025-06-18,67,71,medium,7,58.0,1,D-,Poor,Fail,Medium Risk,0.5061349206349206,62.6,High
